Test Method,# configuration parameter,Configuration Key
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadInvalidContentsLenient,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.core.security.FlinkSecurityManagerTest#testMultiSecurityManagersWithSetFirstAndUnmonitored,2,[cluster.intercept-user-system-exit=THROW;cluster.processes.halt-on-fatal-error=false;]
org.apache.flink.api.common.operators.GenericDataSinkBaseTest#testDataSourceWithRuntimeContext,1,[pipeline.object-reuse=true;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsMultipleFilesNoCachedVersion,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetPathsWithoutSettingFirst,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadNoPosAllGzip,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.DelimitedInputFormatTest#testConfigure,7,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;delimited-format.delimiter=&-&;recursive.file.enumeration=false;delimited-format.numSamples=null;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testBeanStyleObjects,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatsIgnoredUnderscoreFiles,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.BinaryInputFormatTest#testCreateInputSplitsWithOneFile,14,[input.block_size=42;taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.RichOutputFormatTest#testCheckRuntimeContextAccess,2,[fs.overwrite-files=false;fs.output.always-create-directory=false;]
org.apache.flink.configuration.FilesystemSchemeConfigTest#testExplicitlySetToLocal,11,[fs.default-scheme=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testSamplingOverlyLongRecord,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=4;compiler.delimited-informat.min-line-samples=4;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.configuration.GlobalConfigurationTest#testConfigurationYAML,9,[mykey1=myvalue1;mykey2=myvalue2;mykey3=null;mykey4=myvalue4;mykey5=myvalue5;mykey6=my: value6;mykey7=null;mykey8=null;mykey9=myvalue10;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathsSingleWithMulti,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadTooShortInputLenient,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testCompositeObject,1,[pipeline.force-kryo=false;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testString,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetPathWithoutSettingFirst,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.common.state.MapStateDescriptorTest#testMapStateDescriptor,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testMultiPathSetOnSinglePathIF,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.configuration.ConfigurationTest#testRemove,2,[a=1;b=2;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testJavaDequeue,1,[pipeline.force-kryo=false;]
org.apache.flink.configuration.ConfigurationTest#testMapThatOverwritesPrefix,3,[test-map-key.prop1=value1;test-map-key.prop2=99999;test-map-key={prop2=12, prop1=value1};]
org.apache.flink.api.common.io.FileInputFormatTest#testSetFileViaConfiguration,3,[taskmanager.runtime.fs_timeout=0;input.file.path=file:///some/none/existing/directory/;recursive.file.enumeration=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathsMulti,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testSimpleTypesObjects,1,[pipeline.force-kryo=false;]
org.apache.flink.configuration.DelegatingConfigurationTest#testDelegationConfigurationToMapConsistentWithAddAllToProperties,4,[k0=v0;prefix.k1=v1;prefix.prefix.k2=v2;k3.prefix.prefix.k3=v3;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#addingTypesIsCompatibleAfterReconfiguration,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsOneFileWithCachedVersion,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsNonExistingFile,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.configuration.ConfigurationUtilsTest#testGetPrefixedKeyValuePairs,2,[test.prefix.k1=v1;test.prefix.k2=v2;]
org.apache.flink.configuration.ConfigurationTest#testMapWithoutPrefix,1,[test-map-key={prop2=12, prop1=value1};]
org.apache.flink.configuration.DelegatingConfigurationTest#testSetReturnsDelegatingConfiguration,1,[prefix.parallelism.default=1;]
org.apache.flink.configuration.FilesystemSchemeConfigTest#testExplicitlyPathTakesPrecedence,11,[fs.default-scheme=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.operators.base.MapOperatorTest#testMapWithRuntimeContext,1,[pipeline.object-reuse=true;]
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testLeftOuterJoin,1,[pipeline.object-reuse=true;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathOnMulti,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.core.security.FlinkSecurityManagerTest#testMultiSecurityManagersWithSetLastAndUnmonitored,2,[cluster.intercept-user-system-exit=THROW;cluster.processes.halt-on-fatal-error=false;]
org.apache.flink.api.common.state.StateDescriptorTest#testSerializerDuplication,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testFullOuterJoinWithEmptyRightInput,1,[pipeline.object-reuse=true;]
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testGetStatisticsMultipleNestedFiles,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=true;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#reorderingIsCompatibleAfterReconfiguration,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileOutputFormatTest#testOverwriteNonParallelLocalFS,13,[fs.overwrite-files=false;fs.output.always-create-directory=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.configuration.CoreOptionsTest#testGetPluginParentFirstLoaderPatterns,2,[plugin.classloader.parent-first-patterns.default=[];plugin.classloader.parent-first-patterns.additional=[how, are, you];]
org.apache.flink.api.common.io.BinaryInputFormatTest#testCreateInputSplitsWithMulitpleFiles,12,[taskmanager.runtime.fs_timeout=0;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadWithBufferSizeIsMultiple,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerCompatibilityTest#testMigrationOfTypeWithAvroType,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testNumSamplesMultipleFiles,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=4;compiler.delimited-informat.min-line-samples=4;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testNestedObjects,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.RichInputFormatTest#testCheckRuntimeContextAccess,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.common.io.DelimitedInputFormatTest#testDelimiterOnBufferBoundaryWithWholeFileSplit,17,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.BinaryInputFormatTest#testCreateInputSplitsWithEmptySplit,14,[input.block_size=42;taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testCachedStatistics,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=4;compiler.delimited-informat.min-line-samples=4;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.core.security.FlinkSecurityManagerTest#testMultiSecurityManagersWithSetFirstAndMonitored,2,[cluster.intercept-user-system-exit=THROW;cluster.processes.halt-on-fatal-error=false;]
org.apache.flink.api.common.serialization.TypeInformationSerializationSchemaTest#testSerializability,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.state.ListStateDescriptorTest#testListStateDescriptor,1,[pipeline.force-kryo=false;]
org.apache.flink.configuration.DelegatingConfigurationTest#testDelegationConfigurationWithNullPrefix,1,[test-key=value;]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#readWithEmptyField,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsMultipleOneFileNoCachedVersion,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetFileViaConfigurationEmptyPath,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.common.io.BinaryInputFormatTest#testGetStatisticsNonExistingFiles,14,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;input.block_size=-9223372036854775808;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testMultiPathSetOnSinglePathIF2,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.configuration.ConfigUtilsTest#emptyCollectionPutsEmptyValueInConfig,1,[test.option.key=[];]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadWithCharset,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsOneFileNoCachedVersion,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.DelimitedInputFormatTest#testGetStatisticsFileDoesNotExist,15,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testThatExceptionIsThrownForOuterJoinTypeNull,1,[pipeline.object-reuse=false;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testForwardEOFExceptionWhileDeserializing,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testReadMultiplePatterns,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#sanityTest,1,[pipeline.force-kryo=false;]
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testNestedObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.io.BinaryInputFormatTest#testGetStatisticsMultiplePaths,12,[taskmanager.runtime.fs_timeout=0;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadInvalidContents,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testGetStatisticsOneFileInNestedDir,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=true;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testSinglePathGetOnMultiPathIF,1,[taskmanager.runtime.fs_timeout=0;]
